path,size,sha256,dateCreated
2019/common_col.tsv.bz2,  5.8M,e3fa608785c5cd9dbb50d0cd4ed07486639b2c57a71246dd8a6fb22bf8c10425,2019-12-01T23:27:37Z
2019/common_fb.tsv.bz2,  2.57M,b73e81c37d3c5b624d183192fdbfdcaeaeef396dd0e13d3533ff2d21eb02190e,2019-12-01T23:35:23Z
2019/common_gbif.tsv.bz2,  7.2M,b2dc25d2999093649656662c8141af84e6a2355ee0eceb4413251319ca7d76bc,2019-12-02T21:34:34Z
2019/common_itis.tsv.bz2,  3.06M,bc63094c83d8dfa4bffa2c9d0487ff1a95952ad7e8a6eb252fb93e4f1e590fcb,2019-12-01T23:30:12Z
2019/common_iucn.tsv.bz2,156,30516362af0a394a7a78677ae129a95101cb852bda20ad872ae042ced43c463c,2019-12-01T23:30:12Z
2019/common_ncbi.tsv.bz2, 65.44K,a66231a9bb186b5d72931ea8924382f916fadb71a89c25eb0588d46ad32dd712,2019-12-02T22:43:16Z
2019/common_slb.tsv.bz2,696.32K,8ce38e4d537a1ce50f8f9b32577df29012eaf0c84eccb28c6e9eafbe0e00d190,2019-12-01T23:30:12Z
2019/dwc_col.tsv.bz2, 56.52M,2c5e65f240a23e2fc32240dd3144cdf2d1d0c9dcb5568c467cc3f94772abcb72,2019-12-01T23:26:54Z
2019/dwc_fb.tsv.bz2,  1.56M,d9ba565ef177af1eb4471d6bc82f2b270cc92bc779ce711f05bda2923d4e5518,2019-12-01T23:35:17Z
2019/dwc_gbif.tsv.bz2,163.45M,9b9f18d604fa9a245feb39bbc0e9529fdcc488e9f113132c65c9eca90ce93f51,2019-12-02T21:34:22Z
2019/dwc_itis.tsv.bz2, 10.94M,9bc29db0ce5e2695727fc5f894ef0681b766ccc9c813071cdd1bc8b4921ec110,2019-12-01T23:30:14Z
2019/dwc_iucn.tsv.bz2,  2.58M,d91b51013b669a31fd268743cf2db866b0f3e7a7f1af78e60271fa5f137bd21e,2019-12-01T23:30:14Z
2019/dwc_ncbi.tsv.bz2,  4.03M,6feb51e67b7f8717e27875ff7b84d46cc8d4f182e36aa9a6baa148ec59195861,2019-12-02T22:43:16Z
2019/dwc_ott.tsv.bz2, 55.81M,3399516b5281ca295e64540c1198e244a9b71e9fa914be23be069ca601121b37,2019-12-11T15:14:21Z
2019/dwc_slb.tsv.bz2,  1.25M,25090de609b2d01bd27280bc6ff5f67db47757cca5db0306c9718e6343233ff6,2019-12-01T23:30:14Z
