Seq	AOU	English_Common_Name	French_Common_Name	Spanish_Common_Name	order	family	genus	species
6	01770	Black-bellied Whistling-Duck	Dendrocygne à ventre noir	Dendrocygna autumnalis	Anseriformes	Anatidae	Dendrocygna	Dendrocygna autumnalis
7	01780	Fulvous Whistling-Duck	Dendrocygne fauve	Dendrocygna bicolor	Anseriformes	Anatidae	Dendrocygna	Dendrocygna bicolor
8	01760	Emperor Goose	Oie empereur	Anser canagicus	Anseriformes	Anatidae	Anser	Anser canagicus
9	01690	Snow Goose	Oie des neiges	Anser caerulescens	Anseriformes	Anatidae	Anser	Anser caerulescens
10	01691	(Blue Goose) Snow Goose	Oie des neiges (forme bleue)	Chen caerulescens (blue form)	Anseriformes	Anatidae	Chen	Chen caerulescens (blue form)
11	01700	Ross's Goose	Oie de Ross	Anser rossii	Anseriformes	Anatidae	Anser	Anser rossii
13	01710	Greater White-fronted Goose	Oie rieuse	Anser albifrons	Anseriformes	Anatidae	Anser	Anser albifrons
18	01730	Brant	Bernache cravant	Branta bernicla	Anseriformes	Anatidae	Branta	Branta bernicla
19	01740	(Black Brant) Brant	Bernache cravant (groupe nigricans)	Branta bernicla nigricans	Anseriformes	Anatidae	Branta	Branta bernicla nigricans
21	01725	Cackling Goose	Bernache de Hutchins	Branta hutchinsii	Anseriformes	Anatidae	Branta	Branta hutchinsii
22	01720	Canada Goose	Bernache du Canada	Branta canadensis	Anseriformes	Anatidae	Branta	Branta canadensis
23	01782	Mute Swan	Cygne tuberculé	Cygnus olor	Anseriformes	Anatidae	Cygnus	Cygnus olor
24	01810	Trumpeter Swan	Cygne trompette	Cygnus buccinator	Anseriformes	Anatidae	Cygnus	Cygnus buccinator
25	01800	Tundra Swan	Cygne siffleur	Cygnus columbianus	Anseriformes	Anatidae	Cygnus	Cygnus columbianus
28	10210	Muscovy Duck	Canard musqué	Cairina moschata	Anseriformes	Anatidae	Cairina	Cairina moschata
29	01440	Wood Duck	Canard branchu	Aix sponsa	Anseriformes	Anatidae	Aix	Aix sponsa
32	01400	Blue-winged Teal	Sarcelle à ailes bleues	Spatula discors	Anseriformes	Anatidae	Spatula	Spatula discors
33	01410	Cinnamon Teal	Sarcelle cannelle	Spatula cyanoptera	Anseriformes	Anatidae	Spatula	Spatula cyanoptera
34	01420	Northern Shoveler	Canard souchet	Spatula clypeata	Anseriformes	Anatidae	Spatula	Spatula clypeata
35	01350	Gadwall	Canard chipeau	Mareca strepera	Anseriformes	Anatidae	Mareca	Mareca strepera
37	01360	Eurasian Wigeon	Canard siffleur	Mareca penelope	Anseriformes	Anatidae	Mareca	Mareca penelope
38	01370	American Wigeon	Canard d'Amérique	Mareca americana	Anseriformes	Anatidae	Mareca	Mareca americana
40	01320	Mallard	Canard colvert	Anas platyrhynchos	Anseriformes	Anatidae	Anas	Anas platyrhynchos
41	01331	(Mexican Duck) Mallard	Canard du Mexique	Anas platyrhynchos diazi	Anseriformes	Anatidae	Anas	Anas platyrhynchos diazi
42	01330	American Black Duck	Canard noir	Anas rubripes	Anseriformes	Anatidae	Anas	Anas rubripes
43	01340	Mottled Duck	Canard brun	Anas fulvigula	Anseriformes	Anatidae	Anas	Anas fulvigula
44	01326	hybrid Mallard x Black Duck or Mottled Duck	hybride Canard colvert x Canard noir	Anas platyrhynchos x rubripes or fulvigula	Anseriformes	Anatidae	Anas	Anas platyrhynchos x rubripes or fulvigula
46	01430	Northern Pintail	Canard pilet	Anas acuta	Anseriformes	Anatidae	Anas	Anas acuta
47	01390	Green-winged Teal	Sarcelle d'hiver	Anas crecca	Anseriformes	Anatidae	Anas	Anas crecca
48	01470	Canvasback	Fuligule à dos blanc	Aythya valisineria	Anseriformes	Anatidae	Aythya	Aythya valisineria
49	01460	Redhead	Fuligule à tête rouge	Aythya americana	Anseriformes	Anatidae	Aythya	Aythya americana
51	01500	Ring-necked Duck	Fuligule à collier	Aythya collaris	Anseriformes	Anatidae	Aythya	Aythya collaris
52	01491	Tufted Duck	Fuligule morillon	Aythya fuligula	Anseriformes	Anatidae	Aythya	Aythya fuligula
53	01480	Greater Scaup	Fuligule milouinan	Aythya marila	Anseriformes	Anatidae	Aythya	Aythya marila
54	01490	Lesser Scaup	Petit Fuligule	Aythya affinis	Anseriformes	Anatidae	Aythya	Aythya affinis
55	01489	unid. Greater Scaup / Lesser Scaup	unid Fuligule milouinan / Petit Fuligule	Aythya marila / affinis	Anseriformes	Anatidae	Aythya	Aythya marila / affinis
58	01620	King Eider	Eider à tête grise	Somateria spectabilis	Anseriformes	Anatidae	Somateria	Somateria spectabilis
59	01590	Common Eider	Eider à duvet	Somateria mollissima	Anseriformes	Anatidae	Somateria	Somateria mollissima
60	01550	Harlequin Duck	Arlequin plongeur	Histrionicus histrionicus	Anseriformes	Anatidae	Histrionicus	Histrionicus histrionicus
61	01660	Surf Scoter	Macreuse à front blanc	Melanitta perspicillata	Anseriformes	Anatidae	Melanitta	Melanitta perspicillata
62	01650	White-winged Scoter	Macreuse brune	Melanitta fusca	Anseriformes	Anatidae	Melanitta	Melanitta fusca
64	01630	Black Scoter	Macreuse à bec jaune	Melanitta americana	Anseriformes	Anatidae	Melanitta	Melanitta americana
65	01657	unid. scoter	unid macreuse sp.	Melanitta perspicillata / fusca / americana	Anseriformes	Anatidae	Melanitta	Melanitta perspicillata / fusca / americana
66	01540	Long-tailed Duck	Harelde kakawi	Clangula hyemalis	Anseriformes	Anatidae	Clangula	Clangula hyemalis
67	01530	Bufflehead	Petit Garrot	Bucephala albeola	Anseriformes	Anatidae	Bucephala	Bucephala albeola
68	01510	Common Goldeneye	Garrot à oeil d'or	Bucephala clangula	Anseriformes	Anatidae	Bucephala	Bucephala clangula
69	01520	Barrow's Goldeneye	Garrot d'Islande	Bucephala islandica	Anseriformes	Anatidae	Bucephala	Bucephala islandica
70	01512	unid. Common Goldeneye / Barrow's Goldeneye	unid Garrot à oeil d'or / Garrot d'Islande	Bucephala clangula / islandica	Anseriformes	Anatidae	Bucephala	Bucephala clangula / islandica
72	01310	Hooded Merganser	Harle couronné	Lophodytes cucullatus	Anseriformes	Anatidae	Lophodytes	Lophodytes cucullatus
73	01290	Common Merganser	Grand Harle	Mergus merganser	Anseriformes	Anatidae	Mergus	Mergus merganser
74	01300	Red-breasted Merganser	Harle huppé	Mergus serrator	Anseriformes	Anatidae	Mergus	Mergus serrator
76	01670	Ruddy Duck	Érismature rousse	Oxyura jamaicensis	Anseriformes	Anatidae	Oxyura	Oxyura jamaicensis
77	03110	Plain Chachalaca	Ortalide chacamel	Ortalis vetula	Galliformes	Cracidae	Ortalis	Ortalis vetula
85	02920	Mountain Quail	Colin des montagnes	Oreortyx pictus	Galliformes	Odontophoridae	Oreortyx	Oreortyx pictus
90	02890	Northern Bobwhite	Colin de Virginie	Colinus virginianus	Galliformes	Odontophoridae	Colinus	Colinus virginianus
92	02930	Scaled Quail	Colin écaillé	Callipepla squamata	Galliformes	Odontophoridae	Callipepla	Callipepla squamata
94	02940	California Quail	Colin de Californie	Callipepla californica	Galliformes	Odontophoridae	Callipepla	Callipepla californica
95	02950	Gambel's Quail	Colin de Gambel	Callipepla gambelii	Galliformes	Odontophoridae	Callipepla	Callipepla gambelii
96	02960	Montezuma Quail	Colin arlequin	Cyrtonyx montezumae	Galliformes	Odontophoridae	Cyrtonyx	Cyrtonyx montezumae
100	02882	Chukar	Perdrix choukar	Alectoris chukar	Galliformes	Phasianidae	Alectoris	Alectoris chukar
103	02881	Gray Partridge	Perdrix grise	Perdix perdix	Galliformes	Phasianidae	Perdix	Perdix perdix
104	03091	Ring-necked Pheasant	Faisan de Colchide	Phasianus colchicus	Galliformes	Phasianidae	Phasianus	Phasianus colchicus
105	03095	Indian Peafowl	Paon bleu	Pavo cristatus	Galliformes	Phasianidae	Pavo	Pavo cristatus
106	03000	Ruffed Grouse	Gélinotte huppée	Bonasa umbellus	Galliformes	Phasianidae	Bonasa	Bonasa umbellus
107	03090	Greater Sage-Grouse	Tétras des armoises	Centrocercus urophasianus	Galliformes	Phasianidae	Centrocercus	Centrocercus urophasianus
108	03089	Gunnison Sage-Grouse	Tétras du Gunnison	Centrocercus minimus	Galliformes	Phasianidae	Centrocercus	Centrocercus minimus
109	02980	Spruce Grouse	Tétras du Canada	Falcipennis canadensis	Galliformes	Phasianidae	Falcipennis	Falcipennis canadensis
110	03010	Willow Ptarmigan	Lagopède des saules	Lagopus lagopus	Galliformes	Phasianidae	Lagopus	Lagopus lagopus
111	03020	Rock Ptarmigan	Lagopède alpin	Lagopus muta	Galliformes	Phasianidae	Lagopus	Lagopus muta
112	03040	White-tailed Ptarmigan	Lagopède à queue blanche	Lagopus leucura	Galliformes	Phasianidae	Lagopus	Lagopus leucura
113	02970	Dusky Grouse	Tétras sombre	Dendragapus obscurus	Galliformes	Phasianidae	Dendragapus	Dendragapus obscurus
114	02971	Sooty Grouse	Tétras fuligineux	Dendragapus fuliginosus	Galliformes	Phasianidae	Dendragapus	Dendragapus fuliginosus
115	02973	unid. Dusky Grouse / Sooty Grouse	unid Tétras sombre / Tétras fuligineux	Dendragapus obscurus / fuliginosus	Galliformes	Phasianidae	Dendragapus	Dendragapus obscurus / fuliginosus
116	03080	Sharp-tailed Grouse	Tétras à queue fine	Tympanuchus phasianellus	Galliformes	Phasianidae	Tympanuchus	Tympanuchus phasianellus
117	03050	Greater Prairie-Chicken	Tétras des prairies	Tympanuchus cupido	Galliformes	Phasianidae	Tympanuchus	Tympanuchus cupido
118	03070	Lesser Prairie-Chicken	Tétras pâle	Tympanuchus pallidicinctus	Galliformes	Phasianidae	Tympanuchus	Tympanuchus pallidicinctus
119	03100	Wild Turkey	Dindon sauvage	Meleagris gallopavo	Galliformes	Phasianidae	Meleagris	Meleagris gallopavo
