Seq	AOU	English_Common_Name	French_Common_Name	Spanish_Common_Name	order	family	genus	species
122	00050	Least Grebe	Grèbe minime	Tachybaptus dominicus	Podicipediformes	Podicipedidae	Tachybaptus	Tachybaptus dominicus
123	00060	Pied-billed Grebe	Grèbe à bec bigarré	Podilymbus podiceps	Podicipediformes	Podicipedidae	Podilymbus	Podilymbus podiceps
124	00030	Horned Grebe	Grèbe esclavon	Podiceps auritus	Podicipediformes	Podicipedidae	Podiceps	Podiceps auritus
125	00020	Red-necked Grebe	Grèbe jougris	Podiceps grisegena	Podicipediformes	Podicipedidae	Podiceps	Podiceps grisegena
126	00040	Eared Grebe	Grèbe à cou noir	Podiceps nigricollis	Podicipediformes	Podicipedidae	Podiceps	Podiceps nigricollis
127	00010	Western Grebe	Grèbe élégant	Aechmophorus occidentalis	Podicipediformes	Podicipedidae	Aechmophorus	Aechmophorus occidentalis
128	00011	Clark's Grebe	Grèbe à face blanche	Aechmophorus clarkii	Podicipediformes	Podicipedidae	Aechmophorus	Aechmophorus clarkii
129	00012	unid. Western Grebe / Clark's Grebe	unid Grèbe élégant / Grèbe à face blanche	Aechmophorus occidentalis / clarkii	Podicipediformes	Podicipedidae	Aechmophorus	Aechmophorus occidentalis / clarkii
130	03131	Rock Pigeon	Pigeon biset	Columba livia	Columbiformes	Columbidae	Columba	Columba livia
134	03140	White-crowned Pigeon	Pigeon à couronne blanche	Patagioenas leucocephala	Columbiformes	Columbidae	Patagioenas	Patagioenas leucocephala
135	03130	Red-billed Pigeon	Pigeon à bec rouge	Patagioenas flavirostris	Columbiformes	Columbidae	Patagioenas	Patagioenas flavirostris
136	03120	Band-tailed Pigeon	Pigeon à queue barrée	Patagioenas fasciata	Columbiformes	Columbidae	Patagioenas	Patagioenas fasciata
139	03152	African Collared-Dove (a.k.a. Ringed Turtle-Dove)	Tourterelle rieuse	Streptopelia roseogrisea	Columbiformes	Columbidae	Streptopelia	Streptopelia roseogrisea
141	22860	Eurasian Collared-Dove	Tourterelle turque	Streptopelia decaocto	Columbiformes	Columbidae	Streptopelia	Streptopelia decaocto
142	03151	Spotted Dove	Tourterelle tigrine	Streptopelia chinensis	Columbiformes	Columbidae	Streptopelia	Streptopelia chinensis
143	03210	Inca Dove	Colombe inca	Columbina inca	Columbiformes	Columbidae	Columbina	Columbina inca
144	03200	Common Ground-Dove	Colombe à queue noire	Columbina passerina	Columbiformes	Columbidae	Columbina	Columbina passerina
146	03201	Ruddy Ground-Dove	Colombe rousse	Columbina talpacoti	Columbiformes	Columbidae	Columbina	Columbina talpacoti
151	03180	White-tipped Dove	Colombe de Verreaux	Leptotila verreauxi	Columbiformes	Columbidae	Leptotila	Leptotila verreauxi
157	03190	White-winged Dove	Tourterelle à ailes blanches	Zenaida asiatica	Columbiformes	Columbidae	Zenaida	Zenaida asiatica
159	03160	Mourning Dove	Tourterelle triste	Zenaida macroura	Columbiformes	Columbidae	Zenaida	Zenaida macroura
165	03870	Yellow-billed Cuckoo	Coulicou à bec jaune	Coccyzus americanus	Cuculiformes	Cuculidae	Coccyzus	Coccyzus americanus
166	03860	Mangrove Cuckoo	Coulicou manioc	Coccyzus minor	Cuculiformes	Cuculidae	Coccyzus	Coccyzus minor
167	03880	Black-billed Cuckoo	Coulicou à bec noir	Coccyzus erythropthalmus	Cuculiformes	Cuculidae	Coccyzus	Coccyzus erythropthalmus
168	03875	unid. Yellow-billed Cuckoo / Black-billed Cuckoo	unid Coulicou à bec jaune / Coulicou à bec noir	Coccyzus americanus / erythropthalmus	Cuculiformes	Cuculidae	Coccyzus	Coccyzus americanus / erythropthalmus
173	03850	Greater Roadrunner	Grand Géocoucou	Geococcyx californianus	Cuculiformes	Cuculidae	Geococcyx	Geococcyx californianus
174	03830	Smooth-billed Ani	Ani à bec lisse	Crotophaga ani	Cuculiformes	Cuculidae	Crotophaga	Crotophaga ani
175	03840	Groove-billed Ani	Ani à bec cannelé	Crotophaga sulcirostris	Cuculiformes	Cuculidae	Crotophaga	Crotophaga sulcirostris
177	04210	Lesser Nighthawk	Engoulevent minime	Chordeiles acutipennis	Caprimulgiformes	Caprimulgidae	Chordeiles	Chordeiles acutipennis
178	04200	Common Nighthawk	Engoulevent d'Amérique	Chordeiles minor	Caprimulgiformes	Caprimulgidae	Chordeiles	Chordeiles minor
179	04201	Antillean Nighthawk	Engoulevent piramidig	Chordeiles gundlachii	Caprimulgiformes	Caprimulgidae	Chordeiles	Chordeiles gundlachii
180	04205	unid. Lesser Nighthawk / Common Nighthawk	unid Engoulevent minime / Engoulevent d'Amérique	Chordeiles acutipennis / minor	Caprimulgiformes	Caprimulgidae	Chordeiles	Chordeiles acutipennis / minor
181	04206	unid. Common Nighthawk / Antillean Nighthawk	unid Engoulevent d'Amérique / piramidig	Chordeiles minor / gundlachii	Caprimulgiformes	Caprimulgidae	Chordeiles	Chordeiles minor / gundlachii
182	04190	Common Pauraque	Engoulevent pauraqué	Nyctidromus albicollis	Caprimulgiformes	Caprimulgidae	Nyctidromus	Nyctidromus albicollis
183	04180	Common Poorwill	Engoulevent de Nuttall	Phalaenoptilus nuttallii	Caprimulgiformes	Caprimulgidae	Phalaenoptilus	Phalaenoptilus nuttallii
186	04160	Chuck-will's-widow	Engoulevent de Caroline	Antrostomus carolinensis	Caprimulgiformes	Caprimulgidae	Antrostomus	Antrostomus carolinensis
190	04171	Eastern Whip-poor-will	Engoulevent bois-pourri	Antrostomus vociferus	Caprimulgiformes	Caprimulgidae	Antrostomus	Antrostomus vociferus
191	04172	Mexican Whip-poor-will	Engoulevent d'Arizona	Antrostomus arizonae	Caprimulgiformes	Caprimulgidae	Antrostomus	Antrostomus arizonae
196	04220	Black Swift	Martinet sombre	Cypseloides niger	Apodiformes	Apodidae	Cypseloides	Cypseloides niger
201	04230	Chimney Swift	Martinet ramoneur	Chaetura pelagica	Apodiformes	Apodidae	Chaetura	Chaetura pelagica
202	04240	Vaux's Swift	Martinet de Vaux	Chaetura vauxi	Apodiformes	Apodidae	Chaetura	Chaetura vauxi
206	04250	White-throated Swift	Martinet à gorge blanche	Aeronautes saxatalis	Apodiformes	Apodidae	Aeronautes	Aeronautes saxatalis
219	04260	Rivoli's Hummingbird	Colibri de Rivoli	Eugenes fulgens	Apodiformes	Trochilidae	Eugenes	Eugenes fulgens
224	04270	Blue-throated Hummingbird	Colibri à gorge bleue	Lampornis clemenciae	Apodiformes	Trochilidae	Lampornis	Lampornis clemenciae
230	04370	Lucifer Hummingbird	Colibri lucifer	Calothorax lucifer	Apodiformes	Trochilidae	Calothorax	Calothorax lucifer
232	04280	Ruby-throated Hummingbird	Colibri à gorge rubis	Archilochus colubris	Apodiformes	Trochilidae	Archilochus	Archilochus colubris
233	04290	Black-chinned Hummingbird	Colibri à gorge noire	Archilochus alexandri	Apodiformes	Trochilidae	Archilochus	Archilochus alexandri
234	04295	unid. Ruby-throated / Black-chinned Hummingbird	unid Colibri à gorge rubis / Colibri à gorge noire	Archilochus colubris / alexandri	Apodiformes	Trochilidae	Archilochus	Archilochus colubris / alexandri
235	04310	Anna's Hummingbird	Colibri d'Anna	Calypte anna	Apodiformes	Trochilidae	Calypte	Calypte anna
236	04300	Costa's Hummingbird	Colibri de Costa	Calypte costae	Apodiformes	Trochilidae	Calypte	Calypte costae
239	04320	Broad-tailed Hummingbird	Colibri à queue large	Selasphorus platycercus	Apodiformes	Trochilidae	Selasphorus	Selasphorus platycercus
240	04330	Rufous Hummingbird	Colibri roux	Selasphorus rufus	Apodiformes	Trochilidae	Selasphorus	Selasphorus rufus
241	04340	Allen's Hummingbird	Colibri d'Allen	Selasphorus sasin	Apodiformes	Trochilidae	Selasphorus	Selasphorus sasin
242	04335	unid. Rufous Hummingbird / Allen's Hummingbird	unid Colibri roux / Colibri d'Allen	Selasphorus rufus / sasin	Apodiformes	Trochilidae	Selasphorus	Selasphorus rufus / sasin
243	04402	unid. hummingbird	unid Colibri sp.	Trochilid sp.	Apodiformes	Trochilidae	Trochilid	Trochilid sp.
244	04360	Calliope Hummingbird	Colibri calliope	Selasphorus calliope	Apodiformes	Trochilidae	Selasphorus	Selasphorus calliope
249	04410	Broad-billed Hummingbird	Colibri circé	Cynanthus latirostris	Apodiformes	Trochilidae	Cynanthus	Cynanthus latirostris
265	04390	Buff-bellied Hummingbird	Ariane du Yucatan	Amazilia yucatanensis	Apodiformes	Trochilidae	Amazilia	Amazilia yucatanensis
267	04391	Violet-crowned Hummingbird	Ariane à couronne violette	Amazilia violiceps	Apodiformes	Trochilidae	Amazilia	Amazilia violiceps
272	02150	Yellow Rail	Râle jaune	Coturnicops noveboracensis	Gruiformes	Rallidae	Coturnicops	Coturnicops noveboracensis
275	02160	Black Rail	Râle noir	Laterallus jamaicensis	Gruiformes	Rallidae	Laterallus	Laterallus jamaicensis
277	02111	Ridgway's Rail	Râle de Californie	Rallus obsoletus	Gruiformes	Rallidae	Rallus	Rallus obsoletus
278	02110	Clapper Rail	Râle tapageur	Rallus crepitans	Gruiformes	Rallidae	Rallus	Rallus crepitans
280	02080	King Rail	Râle élégant	Rallus elegans	Gruiformes	Rallidae	Rallus	Rallus elegans
281	02090	unid. Clapper / King Rail	unid Râle élégant / Râle Gris	Rallus crepitans / elegans	Gruiformes	Rallidae	Rallus	Rallus crepitans / elegans
282	02120	Virginia Rail	Râle de Virginie	Rallus limicola	Gruiformes	Rallidae	Rallus	Rallus limicola
286	02140	Sora	Marouette de Caroline	Porzana carolina	Gruiformes	Rallidae	Porzana	Porzana carolina
290	02180	Purple Gallinule	Talève violacée	Porphyrio martinicus	Gruiformes	Rallidae	Porphyrio	Porphyrio martinicus
291	21930	Purple Swamphen	Talève sultane	Porphyrio porphyrio	Gruiformes	Rallidae	Porphyrio	Porphyrio porphyrio
292	02190	Common Gallinule	Gallinule d?'Amérique	Gallinula galeata	Gruiformes	Rallidae	Gallinula	Gallinula galeata
295	02210	American Coot	Foulque d'Amérique	Fulica americana	Gruiformes	Rallidae	Fulica	Fulica americana
297	02070	Limpkin	Courlan brun	Aramus guarauna	Gruiformes	Aramidae	Aramus	Aramus guarauna
298	02060	Sandhill Crane	Grue du Canada	Antigone canadensis	Gruiformes	Gruidae	Antigone	Antigone canadensis
300	02040	Whooping Crane	Grue blanche	Grus americana	Gruiformes	Gruidae	Grus	Grus americana
303	02260	Black-necked Stilt	Échasse d'Amérique	Himantopus mexicanus	Charadriiformes	Recurvirostridae	Himantopus	Himantopus mexicanus
304	02250	American Avocet	Avocette d'Amérique	Recurvirostra americana	Charadriiformes	Recurvirostridae	Recurvirostra	Recurvirostra americana
306	02860	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae	Haematopus	Haematopus palliatus
307	02870	Black Oystercatcher	Huîtrier de Bachman	Haematopus bachmani	Charadriiformes	Haematopodidae	Haematopus	Haematopus bachmani
310	02700	Black-bellied Plover	Pluvier argenté	Pluvialis squatarola	Charadriiformes	Charadriidae	Pluvialis	Pluvialis squatarola
312	02720	American Golden-Plover	Pluvier bronzé	Pluvialis dominica	Charadriiformes	Charadriidae	Pluvialis	Pluvialis dominica
313	02721	Pacific Golden-Plover	Pluvier fauve	Pluvialis fulva	Charadriiformes	Charadriidae	Pluvialis	Pluvialis fulva
317	02780	Snowy Plover	Pluvier neigeux	Charadrius nivosus	Charadriiformes	Charadriidae	Charadrius	Charadrius nivosus
318	02800	Wilson's Plover	Pluvier de Wilson	Charadrius wilsonia	Charadriiformes	Charadriidae	Charadrius	Charadrius wilsonia
319	02750	Common Ringed Plover	Pluvier grand-gravelot	Charadrius hiaticula	Charadriiformes	Charadriidae	Charadrius	Charadrius hiaticula
320	02740	Semipalmated Plover	Pluvier semipalmé	Charadrius semipalmatus	Charadriiformes	Charadriidae	Charadrius	Charadrius semipalmatus
321	02770	Piping Plover	Pluvier siffleur	Charadrius melodus	Charadriiformes	Charadriidae	Charadrius	Charadrius melodus
323	02730	Killdeer	Pluvier kildir	Charadrius vociferus	Charadriiformes	Charadriidae	Charadrius	Charadrius vociferus
324	02810	Mountain Plover	Pluvier montagnard	Charadrius montanus	Charadriiformes	Charadriidae	Charadrius	Charadrius montanus
327	02610	Upland Sandpiper	Maubèche des champs	Bartramia longicauda	Charadriiformes	Scolopacidae	Bartramia	Bartramia longicauda
328	02680	Bristle-thighed Curlew	Courlis d'Alaska	Numenius tahitiensis	Charadriiformes	Scolopacidae	Numenius	Numenius tahitiensis
329	02650	Whimbrel	Courlis corlieu	Numenius phaeopus	Charadriiformes	Scolopacidae	Numenius	Numenius phaeopus
331	02640	Long-billed Curlew	Courlis à long bec	Numenius americanus	Charadriiformes	Scolopacidae	Numenius	Numenius americanus
335	02500	Bar-tailed Godwit	Barge rousse	Limosa lapponica	Charadriiformes	Scolopacidae	Limosa	Limosa lapponica
337	02510	Hudsonian Godwit	Barge hudsonienne	Limosa haemastica	Charadriiformes	Scolopacidae	Limosa	Limosa haemastica
338	02490	Marbled Godwit	Barge marbrée	Limosa fedoa	Charadriiformes	Scolopacidae	Limosa	Limosa fedoa
339	02830	Ruddy Turnstone	Tournepierre à collier	Arenaria interpres	Charadriiformes	Scolopacidae	Arenaria	Arenaria interpres
340	02840	Black Turnstone	Tournepierre noir	Arenaria melanocephala	Charadriiformes	Scolopacidae	Arenaria	Arenaria melanocephala
342	02340	Red Knot	Bécasseau maubèche	Calidris canutus	Charadriiformes	Scolopacidae	Calidris	Calidris canutus
343	02820	Surfbird	Bécasseau du ressac	Calidris virgata	Charadriiformes	Scolopacidae	Calidris	Calidris virgata
346	02380	Sharp-tailed Sandpiper	Bécasseau à queue pointue	Calidris acuminata	Charadriiformes	Scolopacidae	Calidris	Calidris acuminata
347	02330	Stilt Sandpiper	Bécasseau à échasses	Calidris himantopus	Charadriiformes	Scolopacidae	Calidris	Calidris himantopus
352	02422	Red-necked Stint	Bécasseau à col roux	Calidris ruficollis	Charadriiformes	Scolopacidae	Calidris	Calidris ruficollis
353	02480	Sanderling	Bécasseau sanderling	Calidris alba	Charadriiformes	Scolopacidae	Calidris	Calidris alba
354	02430	Dunlin	Bécasseau variable	Calidris alpina	Charadriiformes	Scolopacidae	Calidris	Calidris alpina
355	02356	Rock Sandpiper	Bécasseau des Aléoutiennes	Calidris ptilocnemis	Charadriiformes	Scolopacidae	Calidris	Calidris ptilocnemis
356	02350	Purple Sandpiper	Bécasseau violet	Calidris maritima	Charadriiformes	Scolopacidae	Calidris	Calidris maritima
357	02410	Baird's Sandpiper	Bécasseau de Baird	Calidris bairdii	Charadriiformes	Scolopacidae	Calidris	Calidris bairdii
359	02420	Least Sandpiper	Bécasseau minuscule	Calidris minutilla	Charadriiformes	Scolopacidae	Calidris	Calidris minutilla
360	02400	White-rumped Sandpiper	Bécasseau à croupion blanc	Calidris fuscicollis	Charadriiformes	Scolopacidae	Calidris	Calidris fuscicollis
361	02620	Buff-breasted Sandpiper	Bécasseau roussâtre	Calidris subruficollis	Charadriiformes	Scolopacidae	Calidris	Calidris subruficollis
362	02390	Pectoral Sandpiper	Bécasseau à poitrine cendrée	Calidris melanotos	Charadriiformes	Scolopacidae	Calidris	Calidris melanotos
363	02460	Semipalmated Sandpiper	Bécasseau semipalmé	Calidris pusilla	Charadriiformes	Scolopacidae	Calidris	Calidris pusilla
364	02470	Western Sandpiper	Bécasseau d'Alaska	Calidris mauri	Charadriiformes	Scolopacidae	Calidris	Calidris mauri
365	02429	unid. small ''peep'' sandpiper	unid petit Bécasseau sp.	Calidris sp.	Charadriiformes	Scolopacidae	Calidris	Calidris sp.
366	02310	Short-billed Dowitcher	Bécassin roux	Limnodromus griseus	Charadriiformes	Scolopacidae	Limnodromus	Limnodromus griseus
367	02320	Long-billed Dowitcher	Bécassin à long bec	Limnodromus scolopaceus	Charadriiformes	Scolopacidae	Limnodromus	Limnodromus scolopaceus
368	02327	unid. Short-billed / Long-billed Dowitcher	unid Bécassin roux / Bécassin à long bec	Limnodromus griseus / scolopaceus	Charadriiformes	Scolopacidae	Limnodromus	Limnodromus griseus / scolopaceus
371	02280	American Woodcock	Bécasse d'Amérique	Scolopax minor	Charadriiformes	Scolopacidae	Scolopax	Scolopax minor
375	02300	Wilson's Snipe	Bécassine de Wilson	Gallinago delicata	Charadriiformes	Scolopacidae	Gallinago	Gallinago delicata
377	02631	Common Sandpiper	Chevalier guignette	Actitis hypoleucos	Charadriiformes	Scolopacidae	Actitis	Actitis hypoleucos
378	02630	Spotted Sandpiper	Chevalier grivelé	Actitis macularius	Charadriiformes	Scolopacidae	Actitis	Actitis macularius
380	02560	Solitary Sandpiper	Chevalier solitaire	Tringa solitaria	Charadriiformes	Scolopacidae	Tringa	Tringa solitaria
382	02590	Wandering Tattler	Chevalier errant	Tringa incana	Charadriiformes	Scolopacidae	Tringa	Tringa incana
383	02550	Lesser Yellowlegs	Petit Chevalier	Tringa flavipes	Charadriiformes	Scolopacidae	Tringa	Tringa flavipes
384	02555	unid. Greater Yellowlegs / Lesser Yellowlegs	unid Grand Chevalier / Petit Chevalier	Tringa melanoleuca / flavipes	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca / flavipes
385	02580	Willet	Chevalier semipalmé	Tringa semipalmata	Charadriiformes	Scolopacidae	Tringa	Tringa semipalmata
387	02530	Common Greenshank	Chevalier aboyeur	Tringa nebularia	Charadriiformes	Scolopacidae	Tringa	Tringa nebularia
388	02540	Greater Yellowlegs	Grand Chevalier	Tringa melanoleuca	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca
392	02240	Wilson's Phalarope	Phalarope de Wilson	Phalaropus tricolor	Charadriiformes	Scolopacidae	Phalaropus	Phalaropus tricolor
393	02230	Red-necked Phalarope	Phalarope à bec étroit	Phalaropus lobatus	Charadriiformes	Scolopacidae	Phalaropus	Phalaropus lobatus
398	00360	Pomarine Jaeger	Labbe pomarin	Stercorarius pomarinus	Charadriiformes	Stercorariidae	Stercorarius	Stercorarius pomarinus
