elton_name	mass
Aburria pipile	1816.59
Aburria cumanensis	1239.22
Aburria cujubi	1195.82
Aburria jacutinga	1240.96
Megapodius reinwardt	666.34
Francolinus levalliantoides	376.69
Margaroperdix madagascariensis	245
Catreus wallichii	1436.88
Falcipennis falcipennis	685.61
Falcipennis canadensis	473.65
