redlist_name	category
Pipile pipile	CR
Pipile cumanensis	LC
Pipile cujubi	LC
Pipile jacutinga	EN
Megapodius decollatus	LC
Scleroptila gutturalis	LC
Margaroperdix madagarensis	LC
Falcipennis falcipennis	NT
